0 hamilton 1 30 -h
0 hamilton 2 30 -h
0 hamilton 3 30 -h
0 hamilton 4 30 -h
1137 hamilton 5 30 -h
0 hamilton 6 30 -h
0 hamilton 7 30 -h
0 hamilton 8 30 -h
0 generate 9 30 -h
0 hamilton 9 30 -h
0 generate 10 30 -h
0 hamilton 10 30 -h
0 generate 11 30 -h
0 hamilton 11 30 -h
0 generate 12 30 -h
0 hamilton 12 30 -h
0 generate 13 30 -h
0 hamilton 13 30 -h
0 generate 14 30 -h
1004 hamilton 14 30 -h
0 generate 15 30 -h
3002 hamilton 15 30 -h
0 generate 20 30 -h
1001 generate 30 30 -h
997 generate 40 30 -h
2028 generate 50 30 -h
3531 generate 60 30 -h
6505 generate 70 30 -h
10930 generate 80 30 -h
16591 generate 90 30 -h
25210 generate 100 30 -h
400054 generate 200 30 -h
2035355 generate 300 30 -h
6173038 generate 400 30 -h
15336110 generate 500 30 -h
32198378 generate 600 30 -h
0 hamilton 1 70 -h
0 hamilton 2 70 -h
0 hamilton 3 70 -h
0 hamilton 4 70 -h
0 generate 5 70 -h
0 hamilton 5 70 -h
0 generate 6 70 -h
0 hamilton 6 70 -h
0 generate 7 70 -h
0 hamilton 7 70 -h
0 generate 8 70 -h
0 hamilton 8 70 -h
0 generate 9 70 -h
0 hamilton 9 70 -h
0 generate 10 70 -h
1003 hamilton 10 70 -h
0 generate 11 70 -h
12655 hamilton 11 70 -h
0 generate 12 70 -h
49610 hamilton 12 70 -h
0 generate 13 70 -h
1067589 hamilton 13 70 -h
0 generate 14 70 -h
5484546 hamilton 14 70 -h
0 generate 15 70 -h
51554127 hamilton 15 70 -h
0 generate 20 70 -h
1001 generate 30 70 -h
5160 generate 40 70 -h
3408 generate 50 70 -h
8540 generate 60 70 -h
14103 generate 70 70 -h
24530 generate 80 70 -h
39651 generate 90 70 -h
58897 generate 100 70 -h
972168 generate 200 70 -h
4830845 generate 300 70 -h
14972891 generate 400 70 -h
36588926 generate 500 70 -h
80596760 generate 600 70 -h
0 hamilton 1 30 -nh
0 hamilton 2 30 -nh
0 hamilton 3 30 -nh
0 generate 4 30 -nh
0 hamilton 4 30 -nh
0 generate 5 30 -nh
0 hamilton 5 30 -nh
0 generate 6 30 -nh
0 hamilton 6 30 -nh
0 generate 7 30 -nh
0 hamilton 7 30 -nh
0 generate 8 30 -nh
0 hamilton 8 30 -nh
0 generate 9 30 -nh
0 hamilton 9 30 -nh
0 generate 10 30 -nh
0 hamilton 10 30 -nh
0 generate 11 30 -nh
0 hamilton 11 30 -nh
0 generate 12 30 -nh
0 hamilton 12 30 -nh
0 generate 13 30 -nh
0 hamilton 13 30 -nh
0 generate 14 30 -nh
1492 hamilton 14 30 -nh
0 generate 15 30 -nh
2835 hamilton 15 30 -nh
0 generate 20 30 -nh
0 generate 30 30 -nh
0 generate 40 30 -nh
0 generate 50 30 -nh
0 generate 60 30 -nh
0 generate 70 30 -nh
0 generate 80 30 -nh
0 generate 90 30 -nh
1000 generate 100 30 -nh
2061 generate 200 30 -nh
3025 generate 300 30 -nh
9199 generate 400 30 -nh
16684 generate 500 30 -nh
23842 generate 600 30 -nh
0 hamilton 1 70 -nh
0 hamilton 2 70 -nh
0 generate 3 70 -nh
0 hamilton 3 70 -nh
0 generate 4 70 -nh
0 hamilton 4 70 -nh
0 generate 5 70 -nh
0 hamilton 5 70 -nh
0 generate 6 70 -nh
0 hamilton 6 70 -nh
0 generate 7 70 -nh
0 hamilton 7 70 -nh
0 generate 8 70 -nh
993 hamilton 8 70 -nh
0 generate 9 70 -nh
0 hamilton 9 70 -nh
0 generate 10 70 -nh
1992 hamilton 10 70 -nh
0 generate 11 70 -nh
14056 hamilton 11 70 -nh
0 generate 12 70 -nh
65836 hamilton 12 70 -nh
0 generate 13 70 -nh
434815 hamilton 13 70 -nh
0 generate 14 70 -nh
3938135 hamilton 14 70 -nh
0 generate 15 70 -nh
33301841 hamilton 15 70 -nh
0 generate 20 70 -nh
0 generate 30 70 -nh
0 generate 40 70 -nh
0 generate 50 70 -nh
0 generate 60 70 -nh
0 generate 70 70 -nh
0 generate 80 70 -nh
996 generate 90 70 -nh
0 generate 100 70 -nh
3019 generate 200 70 -nh
7506 generate 300 70 -nh
17055 generate 400 70 -nh
31874 generate 500 70 -nh
49383 generate 600 70 -nh
